"POS","RIDER","COUNTRY","POINTS","STAGE"
1,"Yves Lampaert","BEL",20,1
2,"Wout Van Aert","BEL",17,1
3,"Tadej Pogacar","SLO",15,1
4,"Filippo Ganna","ITA",13,1
5,"Mathieu Van Der Poel","NED",11,1
6,"Mads Pedersen","DEN",10,1
7,"Jonas Vingegaard","DEN",9,1
8,"Primoz Roglic","SLO",8,1
9,"Bauke Mollema","NED",7,1
10,"Dylan Teuns","BEL",6,1
11,"Magnus Cort Nielsen","DEN",5,1
12,"Bob Jungels","LUX",4,1
13,"Adam Yates","GBR",3,1
14,"Stefan Küng","SWI",2,1
15,"Thomas Pidcock","GBR",1,1
1,"Wout Van Aert","BEL",284,10
2,"Fabio Jakobsen","NED",149,10
3,"Tadej Pogacar","SLO",139,10
4,"Magnus Cort Nielsen","DEN",129,10
5,"Christophe Laporte","FRA",114,10
6,"Jasper Philipsen","BEL",102,10
7,"Peter Sagan","SVK",86,10
8,"Simon Clarke","AUS",72,10
9,"Michael Matthews","AUS",68,10
10,"Jonas Vingegaard","DEN",66,10
11,"Mads Pedersen","DEN",62,10
12,"Dylan Groenewegen","NED",60,10
13,"Edvald Boasson Hagen","NOR",52,10
14,"Taco Van Der Hoorn","NED",50,10
15,"David Gaudu","FRA",47,10
16,"Michael Morkov","DEN",46,10
17,"Caleb Ewan","AUS",45,10
18,"Bob Jungels","LUX",43,10
19,"Lennard Kämna","GER",43,10
20,"Luis Leon Sanchez","ESP",43,10
21,"Primoz Roglic","SLO",43,10
22,"Benjamin Thomas","FRA",42,10
23,"Danny Van Poppel","NED",38,10
24,"Alberto Bettiol","ITA",36,10
25,"Fred Wright","GBR",35,10
26,"Geraint Thomas","GBR",34,10
27,"Nicholas Schultz","AUS",33,10
28,"Neilson Powless","USA",31,10
29,"Thomas Pidcock","GBR",30,10
30,"Matteo Jorgenson","USA",30,10
31,"Alexander Kristoff","NOR",30,10
32,"Nairo Quintana","COL",29,10
33,"Dylan Teuns","BEL",29,10
34,"Luca Mozzato","ITA",29,10
35,"Simon Geschke","GER",27,10
36,"Nils Politt","GER",27,10
37,"Hugo Hofstetter","FRA",27,10
38,"Enric Mas","ESP",26,10
39,"Adam Yates","GBR",25,10
40,"Sven Erik Bystrøm","NOR",24,10
41,"Alberto Dainese","ITA",24,10
42,"Jérémy Lecroq","FRA",24,10
43,"Yves Lampaert","BEL",22,10
44,"Romain Bardet","FRA",22,10
45,"Jasper Stuyven","BEL",21,10
46,"Anthony Perez","FRA",20,10
47,"Dylan Van Baarle","NED",20,10
48,"Andreas Lorentz Kron","DEN",18,10
49,"Jakob Fuglsang","DEN",17,10
50,"Jonathan Castroviejo","ESP",17,10
51,"Frederik Frison","BEL",17,10
52,"Daniel Martinez","COL",16,10
53,"Thibaut Pinot","FRA",15,10
54,"Georg Zimmermann","GER",15,10
55,"Carlos Verona","ESP",15,10
56,"Mattia Cattaneo","ITA",15,10
57,"Jack Bauer","NZL",15,10
58,"Cyril Barthe","FRA",15,10
59,"Alexander Vlasov","RUS",14,10
60,"Hugo Houle","CAN",13,10
61,"Pierre-Roger Latour","FRA",13,10
62,"Imanol Erviti","ESP",13,10
63,"Alexis Gougeard","FRA",13,10
64,"Filippo Ganna","ITA",13,10
65,"Steven Kruijswijk","NED",12,10
66,"Maximilian Walscheid","GER",12,10
67,"Mikkel Bjerg","DEN",12,10
68,"Andreas Leknessund","NOR",11,10
69,"Maximilian Schachmann","GER",11,10
70,"Mathieu Van Der Poel","NED",11,10
71,"Marc Soler","ESP",10,10
72,"Giulio Ciccone","ITA",10,10
73,"Benoit Cosnefroy","FRA",9,10
74,"Patrick Konrad","AUT",8,10
75,"Guy Niv","ISR",8,10
76,"Adrien Petit","FRA",8,10
77,"Reinardt Janse Van Rensburg","RSA",8,10
78,"Sepp Kuss","USA",7,10
79,"Bauke Mollema","NED",7,10
80,"Stefan Küng","SWI",7,10
81,"Nathan van Hooydonck","BEL",7,10
82,"Brent Van Moer","BEL",7,10
83,"Rigoberto Uran","COL",6,10
84,"Ion Izagirre","ESP",6,10
85,"Andrea Pasqualon","ITA",6,10
86,"Florian Vermeersch","BEL",6,10
87,"Jonas Rutsch","GER",6,10
88,"Christopher Juul Jensen","DEN",6,10
89,"Damiano Caruso","ITA",5,10
90,"Simone Velasco","ITA",5,10
91,"Kobe Goossens","BEL",5,10
92,"Marco Haller","AUT",5,10
93,"Guillaume Van Keirsbulck","BEL",5,10
94,"Tim Wellens","BEL",4,10
95,"Anthony Turgis","FRA",4,10
96,"Kévin Geniets","LUX",3,10
97,"Joseph Lloyd Dombrowski","USA",3,10
98,"Connor Swift","GBR",3,10
99,"Owain Doull","GBR",3,10
100,"Alexander Krieger","GER",2,10
101,"Maciej Bodnar","POL",2,10
102,"Brandon McNulty","USA",1,10
103,"Florian Senechal","FRA",1,10
104,"Marc Hirschi","SWI",1,10
1,"Wout Van Aert","BEL",304,11
2,"Fabio Jakobsen","NED",155,11
3,"Tadej Pogacar","SLO",148,11
4,"Magnus Cort Nielsen","DEN",129,11
5,"Christophe Laporte","FRA",114,11
6,"Jasper Philipsen","BEL",109,11
7,"Jonas Vingegaard","DEN",86,11
8,"Peter Sagan","SVK",86,11
9,"Simon Clarke","AUS",72,11
10,"Michael Matthews","AUS",68,11
11,"Mads Pedersen","DEN",62,11
12,"Dylan Groenewegen","NED",60,11
13,"David Gaudu","FRA",58,11
14,"Edvald Boasson Hagen","NOR",52,11
15,"Michael Morkov","DEN",51,11
16,"Taco Van Der Hoorn","NED",50,11
17,"Geraint Thomas","GBR",47,11
18,"Nairo Quintana","COL",46,11
