"POS","RIDER","COUNTRY","POINTS","STAGE"
1,"Simon Geschke","GER",19,10
2,"Bob Jungels","LUX",18,10
3,"Thibaut Pinot","FRA",14,10
4,"Magnus Cort Nielsen","DEN",11,10
5,"Tadej Pogacar","SLO",10,10
6,"Pierre-Roger Latour","FRA",8,10
7,"Jonas Vingegaard","DEN",8,10
8,"Carlos Verona","ESP",7,10
9,"Lennard Kämna","GER",6,10
10,"Primoz Roglic","SLO",6,10
11,"Hugo Houle","CAN",6,10
12,"Luis Leon Sanchez","ESP",5,10
13,"Jonathan Castroviejo","ESP",5,10
14,"Wout Van Aert","BEL",4,10
15,"Mattia Cattaneo","ITA",3,10
16,"Pierre Rolland","FRA",3,10
17,"Nicholas Schultz","AUS",3,10
18,"Frederik Frison","BEL",2,10
19,"Geraint Thomas","GBR",2,10
20,"David Gaudu","FRA",2,10
21,"Matteo Jorgenson","USA",2,10
22,"Quinn Simmons","USA",1,10
23,"Patrick Konrad","AUT",1,10
24,"Dylan Teuns","BEL",1,10
25,"Dylan Van Baarle","NED",1,10
26,"Jakob Fuglsang","DEN",1,10
27,"Michael Matthews","AUS",1,10
1,"Simon Geschke","GER",43,11
2,"Pierre-Roger Latour","FRA",35,11
3,"Jonas Vingegaard","DEN",30,11
4,"Warren Barguil","FRA",30,11
5,"Tadej Pogacar","SLO",18,11
6,"Bob Jungels","LUX",18,11
7,"Wout Van Aert","BEL",17,11
8,"Nairo Quintana","COL",15,11
9,"Thibaut Pinot","FRA",14,11
10,"Romain Bardet","FRA",12,11
11,"Geraint Thomas","GBR",12,11
12,"Magnus Cort Nielsen","DEN",11,11
13,"David Gaudu","FRA",10,11
14,"Dylan Teuns","BEL",9,11
15,"Ion Izagirre","ESP",7,11
16,"Carlos Verona","ESP",7,11
17,"Adam Yates","GBR",6,11
18,"Primoz Roglic","SLO",6,11
19,"Lennard Kämna","GER",6,11
20,"Hugo Houle","CAN",6,11
21,"Luis Leon Sanchez","ESP",5,11
22,"Jonathan Castroviejo","ESP",5,11
23,"Mikael Cherel","FRA",4,11
24,"Mattia Cattaneo","ITA",3,11
25,"Pierre Rolland","FRA",3,11
26,"Nicholas Schultz","AUS",3,11
27,"Frederik Frison","BEL",2,11
28,"Alexey Lutsenko","KAZ",2,11
29,"Matteo Jorgenson","USA",2,11
30,"Quinn Simmons","USA",1,11
31,"Patrick Konrad","AUT",1,11
32,"Dylan Van Baarle","NED",1,11
33,"Jakob Fuglsang","DEN",1,11
34,"Michael Matthews","AUS",1,11
1,"Simon Geschke","GER",43,12
2,"Louis Meintjes","RSA",39,12
3,"Jonas Vingegaard","DEN",36,12
4,"Giulio Ciccone","ITA",35,12
5,"Pierre-Roger Latour","FRA",35,12
6,"Neilson Powless","USA",35,12
7,"Warren Barguil","FRA",30,12
8,"Thomas Pidcock","GBR",28,12
9,"Anthony Perez","FRA",26,12
10,"Tadej Pogacar","SLO",26,12
11,"Chris Froome","GBR",22,12
12,"Bob Jungels","LUX",18,12
13,"Wout Van Aert","BEL",17,12
14,"Geraint Thomas","GBR",16,12
15,"Nairo Quintana","COL",15,12
16,"Thibaut Pinot","FRA",14,12
17,"Romain Bardet","FRA",12,12
18,"Magnus Cort Nielsen","DEN",11,12
19,"David Gaudu","FRA",10,12
20,"Dylan Teuns","BEL",9,12
21,"Sebastian Schönberger","AUT",8,12
22,"Kobe Goossens","BEL",8,12
23,"Nelson Oliveira","POR",8,12
24,"Ion Izagirre","ESP",7,12
25,"Carlos Verona","ESP",7,12
26,"Adam Yates","GBR",6,12
27,"Primoz Roglic","SLO",6,12
28,"Lennard Kämna","GER",6,12
29,"Hugo Houle","CAN",6,12
30,"Luis Leon Sanchez","ESP",5,12
31,"Jonathan Castroviejo","ESP",5,12
32,"Mikael Cherel","FRA",4,12
33,"Pierre Rolland","FRA",3,12
34,"Mattia Cattaneo","ITA",3,12
35,"Nicholas Schultz","AUS",3,12
36,"Frederik Frison","BEL",2,12
37,"Enric Mas","ESP",2,12
38,"Alexey Lutsenko","KAZ",2,12
39,"Matteo Jorgenson","USA",2,12
40,"Matis Louvel","FRA",2,12
41,"Quinn Simmons","USA",1,12
42,"Patrick Konrad","AUT",1,12
43,"Dylan Van Baarle","NED",1,12
44,"Jakob Fuglsang","DEN",1,12
45,"Michael Matthews","AUS",1,12
1,"Simon Geschke","GER",43,13
2,"Louis Meintjes","RSA",39,13
3,"Jonas Vingegaard","DEN",36,13
4,"Giulio Ciccone","ITA",35,13
5,"Pierre-Roger Latour","FRA",35,13
6,"Neilson Powless","USA",35,13
7,"Thomas Pidcock","GBR",28,13
8,"Anthony Perez","FRA",26,13
9,"Tadej Pogacar","SLO",26,13
10,"Chris Froome","GBR",22,13
11,"Bob Jungels","LUX",18,13
12,"Wout Van Aert","BEL",17,13
13,"Geraint Thomas","GBR",16,13
14,"Nairo Quintana","COL",15,13
15,"Thibaut Pinot","FRA",14,13
16,"Romain Bardet","FRA",12,13
17,"Magnus Cort Nielsen","DEN",11,13
18,"David Gaudu","FRA",10,13
19,"Dylan Teuns","BEL",9,13
20,"Sebastian Schönberger","AUT",8,13
21,"Kobe Goossens","BEL",8,13
22,"Nelson Oliveira","POR",8,13
23,"Mads Pedersen","DEN",7,13
24,"Ion Izagirre","ESP",7,13
25,"Carlos Verona","ESP",7,13
26,"Adam Yates","GBR",6,13
27,"Primoz Roglic","SLO",6,13
28,"Lennard Kämna","GER",6,13
29,"Hugo Houle","CAN",6,13
30,"Luis Leon Sanchez","ESP",5,13
31,"Jonathan Castroviejo","ESP",5,13
32,"Stefan Küng","SWI",5,13
33,"Filippo Ganna","ITA",4,13
34,"Mikael Cherel","FRA",4,13
35,"Pierre Rolland","FRA",3,13
36,"Mattia Cattaneo","ITA",3,13
37,"Nicholas Schultz","AUS",3,13
38,"Quinn Simmons","USA",2,13
39,"Frederik Frison","BEL",2,13
40,"Enric Mas","ESP",2,13
41,"Alexey Lutsenko","KAZ",2,13
42,"Matteo Jorgenson","USA",2,13
43,"Matis Louvel","FRA",2,13
44,"Patrick Konrad","AUT",1,13
45,"Dylan Van Baarle","NED",1,13
46,"Jakob Fuglsang","DEN",1,13
47,"Michael Matthews","AUS",1,13
1,"Simon Geschke","GER",46,14
2,"Louis Meintjes","RSA",39,14
3,"Neilson Powless","USA",37,14
4,"Jonas Vingegaard","DEN",36,14
5,"Giulio Ciccone","ITA",35,14
6,"Pierre-Roger Latour","FRA",35,14
7,"Thomas Pidcock","GBR",28,14
8,"Anthony Perez","FRA",26,14
9,"Tadej Pogacar","SLO",26,14
10,"Chris Froome","GBR",22,14
11,"Bob Jungels","LUX",18,14
12,"Wout Van Aert","BEL",17,14
13,"Geraint Thomas","GBR",16,14
14,"Thibaut Pinot","FRA",16,14
15,"Nairo Quintana","COL",15,14
16,"Romain Bardet","FRA",12,14
17,"Magnus Cort Nielsen","DEN",11,14
18,"David Gaudu","FRA",10,14
19,"Dylan Teuns","BEL",9,14
20,"Michael Matthews","AUS",8,14
21,"Sebastian Schönberger","AUT",8,14
22,"Kobe Goossens","BEL",8,14
23,"Nelson Oliveira","POR",8,14
24,"Mads Pedersen","DEN",7,14
25,"Ion Izagirre","ESP",7,14
26,"Carlos Verona","ESP",7,14
27,"Luis Leon Sanchez","ESP",6,14
28,"Adam Yates","GBR",6,14
29,"Primoz Roglic","SLO",6,14
30,"Lennard Kämna","GER",6,14
31,"Hugo Houle","CAN",6,14
32,"Quinn Simmons","USA",5,14
33,"Jonathan Castroviejo","ESP",5,14
34,"Stefan Küng","SWI",5,14
