"POS","RIDER","COUNTRY","TIME","STAGE"
1,"Jumbo - Visma","NED",2787,1
2,"INEOS Grenadiers","GBR",2808,1
3,"Trek-Segafredo","USA",2824,1
4,"Quick Step Alpha Vinyl Team","BEL",2829,1
5,"Bahrain Victorious","BRN",2839,1
6,"Bora-hansgrohe","GER",2844,1
7,"UAE Team Emirates","UAE",2867,1
8,"EF Education-EasyPost","USA",2869,1
9,"Cofidis","FRA",2871,1
10,"Team BikeExchange - Jayco","AUS",2882,1
11,"Groupama - FDJ","FRA",2882,1
12,"Team DSM","GER",2891,1
13,"Intermarche-Wanty-Gobert Materiaux","BEL",2895,1
14,"Ag2r - Citroën","FRA",2895,1
15,"Movistar","SPA",2896,1
16,"Astana Qazaqstan Team","KAZ",2912,1
17,"Israel - Premier Tech","ISR",2916,1
18,"Alpecin-Deceuninck","BEL",2917,1
19,"Arkea - Samsic","FRA",2918,1
20,"Soudal Lotto","BEL",2936,1
21,"B&B Hotels - KTM","FRA",2936,1
22,"TotalEnergies","FRA",2940,1
1,"INEOS Grenadiers","GBR",401354,10
2,"Jumbo - Visma","NED",401942,10
3,"Bora-hansgrohe","GER",402143,10
4,"UAE Team Emirates","UAE",402549,10
5,"Groupama - FDJ","FRA",402554,10
6,"Bahrain Victorious","BRN",402722,10
7,"EF Education-EasyPost","USA",403018,10
8,"Movistar","SPA",403688,10
9,"Arkea - Samsic","FRA",403800,10
10,"Cofidis","FRA",403842,10
11,"Ag2r - Citroën","FRA",403905,10
12,"Team DSM","GER",404244,10
13,"Intermarche-Wanty-Gobert Materiaux","BEL",404497,10
14,"Israel - Premier Tech","ISR",404913,10
15,"Trek-Segafredo","USA",404934,10
16,"Astana Qazaqstan Team","KAZ",405812,10
17,"B&B Hotels - KTM","FRA",406950,10
18,"Alpecin-Deceuninck","BEL",408664,10
19,"Team BikeExchange - Jayco","AUS",409005,10
20,"TotalEnergies","FRA",409395,10
21,"Soudal Lotto","BEL",410305,10
22,"Quick Step Alpha Vinyl Team","BEL",412730,10
1,"INEOS Grenadiers","GBR",448623,11
2,"Jumbo - Visma","NED",449318,11
3,"Groupama - FDJ","FRA",450587,11
4,"UAE Team Emirates","UAE",451049,11
5,"Bora-hansgrohe","GER",451806,11
6,"Arkea - Samsic","FRA",452197,11
7,"Bahrain Victorious","BRN",453336,11
8,"Movistar","SPA",453506,11
9,"Cofidis","FRA",453609,11
10,"Team DSM","GER",453968,11
11,"Ag2r - Citroën","FRA",454592,11
12,"EF Education-EasyPost","USA",454625,11
13,"Intermarche-Wanty-Gobert Materiaux","BEL",454995,11
14,"Astana Qazaqstan Team","KAZ",455370,11
15,"Israel - Premier Tech","ISR",455959,11
16,"Trek-Segafredo","USA",456407,11
17,"B&B Hotels - KTM","FRA",458304,11
18,"TotalEnergies","FRA",459785,11
19,"Alpecin-Deceuninck","BEL",460647,11
20,"Team BikeExchange - Jayco","AUS",461337,11
21,"Soudal Lotto","BEL",463727,11
22,"Quick Step Alpha Vinyl Team","BEL",464944,11
1,"INEOS Grenadiers","GBR",502239,12
2,"Jumbo - Visma","NED",503185,12
3,"Groupama - FDJ","FRA",504914,12
4,"UAE Team Emirates","UAE",505799,12
5,"Bora-hansgrohe","GER",507668,12
6,"Arkea - Samsic","FRA",508107,12
7,"Movistar","SPA",508378,12
8,"Bahrain Victorious","BRN",508735,12
9,"Team DSM","GER",509264,12
10,"Cofidis","FRA",509980,12
11,"Astana Qazaqstan Team","KAZ",510425,12
12,"Intermarche-Wanty-Gobert Materiaux","BEL",510868,12
13,"EF Education-EasyPost","USA",511262,12
14,"Trek-Segafredo","USA",511379,12
15,"Ag2r - Citroën","FRA",511446,12
16,"Israel - Premier Tech","ISR",511617,12
17,"B&B Hotels - KTM","FRA",515239,12
18,"TotalEnergies","FRA",518254,12
19,"Alpecin-Deceuninck","BEL",518474,12
20,"Team BikeExchange - Jayco","AUS",519065,12
21,"Soudal Lotto","BEL",522270,12
22,"Quick Step Alpha Vinyl Team","BEL",522816,12
1,"INEOS Grenadiers","GBR",548510,13
2,"Jumbo - Visma","NED",549769,13
3,"Groupama - FDJ","FRA",551183,13
4,"UAE Team Emirates","UAE",552427,13
5,"Bora-hansgrohe","GER",554252,13
6,"Movistar","SPA",554647,13
7,"Arkea - Samsic","FRA",554691,13
8,"Bahrain Victorious","BRN",554997,13
9,"Team DSM","GER",555870,13
10,"Astana Qazaqstan Team","KAZ",557009,13
11,"Cofidis","FRA",557066,13
12,"Intermarche-Wanty-Gobert Materiaux","BEL",557452,13
13,"Trek-Segafredo","USA",557646,13
14,"EF Education-EasyPost","USA",557872,13
15,"Israel - Premier Tech","ISR",557882,13
