"POS","RIDER","COUNTRY","TIME","STAGE"
1,"Tadej Pogacar","SLO",924,1
2,"Thomas Pidcock","GBR",941,1
3,"Florian Vermeersch","BEL",950,1
4,"Brandon McNulty","USA",960,1
5,"Nils Eekhoff","NED",964,1
6,"Matteo Jorgenson","USA",965,1
7,"Fred Wright","GBR",966,1
8,"Andrea Bagioli","ITA",969,1
9,"Quinn Simmons","USA",971,1
10,"Jonas Rutsch","GER",972,1
11,"Kévin Geniets","LUX",975,1
12,"Andreas Leknessund","NOR",976,1
13,"Alberto Dainese","ITA",978,1
14,"Mikkel Honore","DEN",982,1
15,"Mikkel Bjerg","DEN",983,1
16,"Stefan Bissegger","SWI",989,1
17,"Kevin Vermaerke","USA",991,1
18,"Georg Zimmermann","GER",992,1
19,"Matis Louvel","FRA",999,1
20,"Brent Van Moer","BEL",1002,1
21,"Jasper Philipsen","BEL",1003,1
22,"Stan Dewulf","BEL",1005,1
23,"Andreas Lorentz Kron","DEN",1009,1
24,"Michael Storer","AUS",1015,1
25,"Marc Hirschi","SWI",1019,1
26,"Mathieu Burgaudeau","FRA",1059,1
27,"Luca Mozzato","ITA",1071,1
1,"Tadej Pogacar","SLO",133888,10
2,"Thomas Pidcock","GBR",133994,10
3,"Brandon McNulty","USA",134344,10
4,"Matteo Jorgenson","USA",135050,10
5,"Andreas Leknessund","NOR",135177,10
6,"Kévin Geniets","LUX",135942,10
7,"Georg Zimmermann","GER",135963,10
8,"Fred Wright","GBR",136556,10
9,"Michael Storer","AUS",136829,10
10,"Matis Louvel","FRA",137186,10
11,"Stan Dewulf","BEL",137664,10
12,"Jasper Philipsen","BEL",137735,10
13,"Andreas Lorentz Kron","DEN",137769,10
14,"Quinn Simmons","USA",137778,10
15,"Luca Mozzato","ITA",138616,10
16,"Florian Vermeersch","BEL",138686,10
17,"Stefan Bissegger","SWI",138693,10
18,"Mathieu Burgaudeau","FRA",138778,10
19,"Jonas Rutsch","GER",138931,10
20,"Alberto Dainese","ITA",139110,10
21,"Mikkel Honore","DEN",139120,10
22,"Brent Van Moer","BEL",139277,10
23,"Andrea Bagioli","ITA",139438,10
24,"Nils Eekhoff","NED",139464,10
25,"Marc Hirschi","SWI",141022,10
26,"Mikkel Bjerg","DEN",141085,10
1,"Tadej Pogacar","SLO",149541,11
2,"Thomas Pidcock","GBR",150071,11
3,"Brandon McNulty","USA",151311,11
4,"Matteo Jorgenson","USA",152168,11
5,"Andreas Leknessund","NOR",152441,11
6,"Kévin Geniets","LUX",153032,11
7,"Georg Zimmermann","GER",153277,11
8,"Michael Storer","AUS",153328,11
9,"Fred Wright","GBR",153870,11
10,"Matis Louvel","FRA",154304,11
11,"Stan Dewulf","BEL",154928,11
12,"Quinn Simmons","USA",155097,11
13,"Jasper Philipsen","BEL",155423,11
14,"Andreas Lorentz Kron","DEN",155590,11
15,"Stefan Bissegger","SWI",156007,11
16,"Jonas Rutsch","GER",156245,11
17,"Luca Mozzato","ITA",156329,11
18,"Mathieu Burgaudeau","FRA",156386,11
19,"Florian Vermeersch","BEL",156507,11
20,"Andrea Bagioli","ITA",156608,11
21,"Alberto Dainese","ITA",156641,11
22,"Mikkel Honore","DEN",156892,11
23,"Nils Eekhoff","NED",157065,11
24,"Brent Van Moer","BEL",157098,11
25,"Marc Hirschi","SWI",158843,11
26,"Mikkel Bjerg","DEN",158939,11
1,"Tadej Pogacar","SLO",167468,12
2,"Thomas Pidcock","GBR",167785,12
3,"Brandon McNulty","USA",170693,12
4,"Matteo Jorgenson","USA",171072,12
5,"Andreas Leknessund","NOR",171311,12
6,"Kévin Geniets","LUX",171492,12
7,"Michael Storer","AUS",172111,12
8,"Georg Zimmermann","GER",172296,12
9,"Fred Wright","GBR",173442,12
10,"Matis Louvel","FRA",173830,12
11,"Stan Dewulf","BEL",174310,12
12,"Quinn Simmons","USA",174479,12
13,"Andrea Bagioli","ITA",174971,12
14,"Andreas Lorentz Kron","DEN",174972,12
15,"Jasper Philipsen","BEL",175181,12
16,"Stefan Bissegger","SWI",175469,12
17,"Jonas Rutsch","GER",175707,12
18,"Alberto Dainese","ITA",176103,12
19,"Mathieu Burgaudeau","FRA",176160,12
20,"Luca Mozzato","ITA",176225,12
21,"Nils Eekhoff","NED",176388,12
22,"Florian Vermeersch","BEL",176521,12
23,"Brent Van Moer","BEL",176670,12
24,"Mikkel Honore","DEN",176857,12
25,"Marc Hirschi","SWI",178305,12
26,"Mikkel Bjerg","DEN",178802,12
1,"Tadej Pogacar","SLO",182996,13
2,"Thomas Pidcock","GBR",183313,13
3,"Brandon McNulty","USA",186247,13
4,"Matteo Jorgenson","USA",186285,13
5,"Andreas Leknessund","NOR",186869,13
6,"Kévin Geniets","LUX",187468,13
7,"Michael Storer","AUS",187657,13
8,"Georg Zimmermann","GER",187824,13
9,"Fred Wright","GBR",188619,13
10,"Matis Louvel","FRA",189806,13
11,"Stan Dewulf","BEL",189838,13
12,"Quinn Simmons","USA",190455,13
13,"Andreas Lorentz Kron","DEN",190500,13
14,"Andrea Bagioli","ITA",190531,13
15,"Jasper Philipsen","BEL",190957,13
16,"Jonas Rutsch","GER",191235,13
17,"Stefan Bissegger","SWI",191445,13
18,"Alberto Dainese","ITA",191631,13
19,"Mathieu Burgaudeau","FRA",191688,13
20,"Luca Mozzato","ITA",191753,13
21,"Nils Eekhoff","NED",192364,13
22,"Mikkel Honore","DEN",192385,13
23,"Florian Vermeersch","BEL",192909,13
24,"Brent Van Moer","BEL",193058,13
25,"Marc Hirschi","SWI",193865,13
26,"Mikkel Bjerg","DEN",194778,13
1,"Tadej Pogacar","SLO",200003,14
2,"Thomas Pidcock","GBR",200390,14
3,"Brandon McNulty","USA",203466,14
4,"Matteo Jorgenson","USA",203525,14
5,"Andreas Leknessund","NOR",204200,14
6,"Kévin Geniets","LUX",204748,14
7,"Michael Storer","AUS",204758,14
8,"Georg Zimmermann","GER",205534,14
9,"Fred Wright","GBR",206278,14
10,"Andreas Lorentz Kron","DEN",206875,14
11,"Quinn Simmons","USA",207090,14
12,"Matis Louvel","FRA",207477,14
13,"Stan Dewulf","BEL",207497,14
14,"Andrea Bagioli","ITA",208241,14
15,"Jasper Philipsen","BEL",208742,14
16,"Jonas Rutsch","GER",208894,14
17,"Stefan Bissegger","SWI",209104,14
18,"Alberto Dainese","ITA",209392,14
19,"Mathieu Burgaudeau","FRA",209404,14
20,"Luca Mozzato","ITA",209541,14
21,"Mikkel Honore","DEN",210044,14
22,"Nils Eekhoff","NED",210076,14
23,"Florian Vermeersch","BEL",210568,14
24,"Brent Van Moer","BEL",210717,14
25,"Marc Hirschi","SWI",211524,14
26,"Mikkel Bjerg","DEN",212437,14
1,"Tadej Pogacar","SLO",216050,15
2,"Thomas Pidcock","GBR",216437,15
3,"Brandon McNulty","USA",219513,15
4,"Matteo Jorgenson","USA",219572,15
5,"Andreas Leknessund","NOR",220474,15
6,"Michael Storer","AUS",221032,15
7,"Kévin Geniets","LUX",221552,15
8,"Georg Zimmermann","GER",221650,15
9,"Fred Wright","GBR",222325,15
10,"Andreas Lorentz Kron","DEN",223149,15
11,"Quinn Simmons","USA",223173,15
12,"Stan Dewulf","BEL",223544,15
13,"Matis Louvel","FRA",224756,15
14,"Jasper Philipsen","BEL",224779,15
15,"Jonas Rutsch","GER",224941,15
16,"Stefan Bissegger","SWI",225151,15
17,"Andrea Bagioli","ITA",225324,15
18,"Alberto Dainese","ITA",225439,15
19,"Luca Mozzato","ITA",225588,15
20,"Mathieu Burgaudeau","FRA",225678,15
21,"Florian Vermeersch","BEL",226615,15
22,"Mikkel Honore","DEN",227127,15
23,"Nils Eekhoff","NED",227339,15
24,"Brent Van Moer","BEL",227800,15
25,"Mikkel Bjerg","DEN",228534,15
26,"Marc Hirschi","SWI",228607,15
1,"Tadej Pogacar","SLO",232231,16
2,"Thomas Pidcock","GBR",232700,16
3,"Matteo Jorgenson","USA",235471,16
4,"Brandon McNulty","USA",235694,16
5,"Andreas Leknessund","NOR",236871,16
6,"Michael Storer","AUS",236944,16
7,"Kévin Geniets","LUX",238367,16
8,"Georg Zimmermann","GER",238976,16
9,"Fred Wright","GBR",239648,16
10,"Quinn Simmons","USA",240499,16
11,"Andreas Lorentz Kron","DEN",240766,16
12,"Stan Dewulf","BEL",240865,16
13,"Mathieu Burgaudeau","FRA",241809,16
14,"Matis Louvel","FRA",241961,16
15,"Stefan Bissegger","SWI",242147,16
16,"Jonas Rutsch","GER",242267,16
17,"Jasper Philipsen","BEL",242435,16
18,"Andrea Bagioli","ITA",242650,16
19,"Alberto Dainese","ITA",243147,16
20,"Luca Mozzato","ITA",243296,16
21,"Mikkel Honore","DEN",243299,16
22,"Florian Vermeersch","BEL",244323,16
23,"Nils Eekhoff","NED",244411,16
24,"Brent Van Moer","BEL",245508,16
25,"Mikkel Bjerg","DEN",245860,16
26,"Marc Hirschi","SWI",246263,16
1,"Tadej Pogacar","SLO",244572,17
2,"Thomas Pidcock","GBR",246377,17
3,"Brandon McNulty","USA",248073,17
4,"Matteo Jorgenson","USA",248962,17
5,"Andreas Leknessund","NOR",249786,17
6,"Michael Storer","AUS",250824,17
7,"Georg Zimmermann","GER",252048,17
8,"Kévin Geniets","LUX",252699,17
9,"Fred Wright","GBR",253507,17
10,"Quinn Simmons","USA",254059,17
11,"Stan Dewulf","BEL",254581,17
12,"Andreas Lorentz Kron","DEN",254625,17
13,"Mathieu Burgaudeau","FRA",254724,17
14,"Matis Louvel","FRA",255851,17
15,"Stefan Bissegger","SWI",256084,17
16,"Jonas Rutsch","GER",256157,17
17,"Jasper Philipsen","BEL",256387,17
18,"Andrea Bagioli","ITA",256520,17
19,"Alberto Dainese","ITA",257230,17
20,"Luca Mozzato","ITA",257270,17
21,"Mikkel Honore","DEN",257586,17
22,"Florian Vermeersch","BEL",258182,17
23,"Nils Eekhoff","NED",258685,17
24,"Brent Van Moer","BEL",259367,17
25,"Mikkel Bjerg","DEN",259764,17
26,"Marc Hirschi","SWI",260561,17
1,"Tadej Pogacar","SLO",259020,18
2,"Thomas Pidcock","GBR",261994,18
3,"Brandon McNulty","USA",263834,18
4,"Matteo Jorgenson","USA",264296,18
5,"Andreas Leknessund","NOR",265614,18
6,"Michael Storer","AUS",266670,18
7,"Georg Zimmermann","GER",267912,18
8,"Kévin Geniets","LUX",268573,18
9,"Fred Wright","GBR",269840,18
10,"Quinn Simmons","USA",270488,18
11,"Andreas Lorentz Kron","DEN",270615,18
12,"Stan Dewulf","BEL",270914,18
13,"Mathieu Burgaudeau","FRA",271057,18
14,"Matis Louvel","FRA",271679,18
15,"Stefan Bissegger","SWI",272417,18
16,"Jonas Rutsch","GER",272490,18
17,"Jasper Philipsen","BEL",272798,18
18,"Andrea Bagioli","ITA",273110,18
19,"Luca Mozzato","ITA",273723,18
20,"Alberto Dainese","ITA",273735,18
21,"Mikkel Honore","DEN",274176,18
22,"Florian Vermeersch","BEL",274653,18
23,"Nils Eekhoff","NED",275104,18
24,"Brent Van Moer","BEL",275700,18
25,"Mikkel Bjerg","DEN",276339,18
26,"Marc Hirschi","SWI",276983,18
1,"Tadej Pogacar","SLO",272945,19
2,"Thomas Pidcock","GBR",276031,19
3,"Brandon McNulty","USA",277904,19
4,"Matteo Jorgenson","USA",278245,19
5,"Andreas Leknessund","NOR",279684,19
6,"Michael Storer","AUS",281067,19
7,"Georg Zimmermann","GER",281982,19
8,"Kévin Geniets","LUX",282656,19
9,"Fred Wright","GBR",283765,19
10,"Quinn Simmons","USA",284894,19
11,"Stan Dewulf","BEL",284997,19
12,"Andreas Lorentz Kron","DEN",285021,19
13,"Mathieu Burgaudeau","FRA",285221,19
14,"Matis Louvel","FRA",285672,19
15,"Stefan Bissegger","SWI",286389,19
16,"Jonas Rutsch","GER",286560,19
17,"Jasper Philipsen","BEL",286717,19
18,"Andrea Bagioli","ITA",287274,19
19,"Alberto Dainese","ITA",287656,19
20,"Luca Mozzato","ITA",287828,19
21,"Florian Vermeersch","BEL",288686,19
22,"Mikkel Honore","DEN",288747,19
23,"Nils Eekhoff","NED",289423,19
24,"Brent Van Moer","BEL",289783,19
25,"Mikkel Bjerg","DEN",290510,19
26,"Marc Hirschi","SWI",291076,19
1,"Tadej Pogacar","SLO",17398,2
2,"Thomas Pidcock","GBR",17415,2
3,"Florian Vermeersch","BEL",17424,2
4,"Brandon McNulty","USA",17434,2
5,"Nils Eekhoff","NED",17438,2
6,"Matteo Jorgenson","USA",17439,2
7,"Fred Wright","GBR",17440,2
8,"Andrea Bagioli","ITA",17443,2
9,"Quinn Simmons","USA",17445,2
10,"Jonas Rutsch","GER",17446,2
11,"Kévin Geniets","LUX",17449,2
12,"Andreas Leknessund","NOR",17450,2
13,"Mikkel Honore","DEN",17456,2
14,"Mikkel Bjerg","DEN",17457,2
15,"Stefan Bissegger","SWI",17463,2
16,"Georg Zimmermann","GER",17466,2
17,"Matis Louvel","FRA",17473,2
18,"Brent Van Moer","BEL",17476,2
19,"Jasper Philipsen","BEL",17477,2
20,"Stan Dewulf","BEL",17479,2
21,"Andreas Lorentz Kron","DEN",17483,2
22,"Michael Storer","AUS",17489,2
23,"Marc Hirschi","SWI",17493,2
24,"Mathieu Burgaudeau","FRA",17533,2
25,"Luca Mozzato","ITA",17545,2
26,"Alberto Dainese","ITA",18116,2
27,"Kevin Vermaerke","USA",18129,2
1,"Tadej Pogacar","SLO",275851,20
2,"Thomas Pidcock","GBR",279305,20
3,"Brandon McNulty","USA",281114,20
4,"Matteo Jorgenson","USA",281325,20
5,"Andreas Leknessund","NOR",282739,20
6,"Michael Storer","AUS",284230,20
7,"Georg Zimmermann","GER",285245,20
8,"Kévin Geniets","LUX",285753,20
9,"Fred Wright","GBR",286736,20
10,"Stan Dewulf","BEL",288155,20
11,"Quinn Simmons","USA",288220,20
12,"Andreas Lorentz Kron","DEN",288341,20
13,"Mathieu Burgaudeau","FRA",288369,20
14,"Matis Louvel","FRA",288828,20
15,"Stefan Bissegger","SWI",289560,20
16,"Jonas Rutsch","GER",289725,20
17,"Jasper Philipsen","BEL",290048,20
18,"Andrea Bagioli","ITA",290434,20
19,"Alberto Dainese","ITA",290942,20
20,"Luca Mozzato","ITA",291222,20
21,"Florian Vermeersch","BEL",291759,20
22,"Mikkel Honore","DEN",291899,20
23,"Nils Eekhoff","NED",292620,20
24,"Brent Van Moer","BEL",292987,20
25,"Mikkel Bjerg","DEN",293532,20
26,"Marc Hirschi","SWI",294428,20
1,"Tadej Pogacar","SLO",286563,21
2,"Thomas Pidcock","GBR",290075,21
3,"Brandon McNulty","USA",291879,21
4,"Matteo Jorgenson","USA",292037,21
5,"Andreas Leknessund","NOR",293451,21
6,"Michael Storer","AUS",294995,21
7,"Georg Zimmermann","GER",295980,21
8,"Kévin Geniets","LUX",296488,21
9,"Fred Wright","GBR",297448,21
10,"Stan Dewulf","BEL",298958,21
11,"Quinn Simmons","USA",299044,21
12,"Mathieu Burgaudeau","FRA",299126,21
13,"Andreas Lorentz Kron","DEN",299457,21
14,"Matis Louvel","FRA",299606,21
15,"Stefan Bissegger","SWI",300306,21
16,"Jasper Philipsen","BEL",300750,21
17,"Jonas Rutsch","GER",300761,21
